 date , Breed ,colour,COAT LENGTH,pattern,eye_colour, vaccination_status ,microchipped?,age band?,indoor/Outdoor, favouriteToy ,temperament,food preference?,Litter Type/,Adoption Source,health issue,weight kg,age_months,LENGTH CM, height_cm ,daily calories,vet visits/,litterUsedKg,Play Sessions/Week, NAPS/DAY ,cost_£/month
2021-01-23,,white,LONG,pointed,copper,unknown,Yes,kitten,INDOOR,CATNIP MOUSE,aggressive,-999,silica,BREEDER,obesity,NA,2052,10448,18695,-999,"19,975",£4651,NaN,14678,£12891
04/04/2021,british_shorthair,orange,short,spotted,gold,UNKNOWN,no,senior, indoor ,feather_wand,Lazy,raw, Recycled Paper ,Friend, Allergy ,16115,£13971,8384,NA,19083,4521,9185,9027,-999,4176
NA,Siamese,orange, medium ,Tabby,missing,Not Required,yes,geriatric,NA,STRING,aggressive,mixed,recycledPaper,NA,allergy,10776,NaN,16805,2949,12309,£8467,5821,£5901,-999,£2783
2023-06-27,siamese,calico,HAIRLESS,pointed,copper,overdue,no,-999,NA,catnip_mouse,lazy,Wet,Non-Clumping,Stray,missing,8677,NA,143,6553,£7774,9272," 6,089",10998,6141,1621
2023-10-30,tabby,Brown,Short,solid,missing,up-To-Date,yes,senior,NaN,missing,Aggressive,wet, silica , Breeder ,allergy,£8804,3279,NaN,4121,18210,6920,NA," 5,286",9765,£2114
2022-01-23,british_shorthair, cream ,missing,SPOTTED,NA,up-To-Date,no,SENIOR,indoor,string,shy,dry,RECYCLED PAPER,online,allergy,1618,4012,16544,14468,13045,£19644,14365,£8034,6591,4759
2024-06-04,persian,BROWN,hairless,tabby,Copper, unknown ,,Senior,both,Feather Wand,Lazy,mixed,silica,-999,dental,missing,2988,NaN,7150,14282," 1,261",£10019,£1228,7451,£1763
25/03/2024,Bengal,white,-999,tabby,NA,Up-To-Date,yes,mature,indoor,feather wand,PLAYFUL,dry,recycledPaper,ONLINE,obesity,15484,1669,1737," 7,890",£6119,"13,451",2126,5136,,NaN
17/10/2021,NaN,calico,long,pointed,odd-eyed,overdue,NO,Geriatric,NaN,catnip_mouse, aggressive ,wet,SILICA,SHELTER,NONE," 9,179",3183,5637,8170,183,11970,4021,NA,18341,7955
07/07/2022,missing,Orange,Medium,Pointed,Blue,unknown,Yes,geriatric,both,feather wand,lazy,DRY,-999,ONLINE,Obesity,£16891,4356,£18874,£1697,8710,NA,£10314,   535,382,NA
2023-12-27,Siamese,white, Medium ,Pointed,Gold,unknown,No,SENIOR,indoor,String,playful,mixed,SILICA,STRAY,NONE,16803,"14,353",13631,£1681,402,£5759,missing,£4711,15835,7190
22/12/2022,tabby,TORTOISESHELL,medium,solid,Gold,NOT REQUIRED, no ,senior,Both,feather wand,Playful,mixed,silica,online,arthritis,16353,NA,NA,-999,19852,£11082,7348,13710,-999,£8992
22/03/2023,RAGDOLL,white,medium,spotted,blue,overdue,No,Kitten,both,LASER POINTER, PLAYFUL ,MIXED,RECYCLED PAPER,FRIEND,allergy,2566,12736," 3,142",11949,17684,£17200,15774,NaN,NaN,1140
2021-09-21,britishShorthair,-999,short,POINTED,blue,Unknown,Yes,GERIATRIC,both,feather wand,Playful,MIXED,missing,shelter,allergy,£8098,"15,911",,"13,706","10,529",13841,17216,16102,10171,3095
17/06/2024,persian,tortoiseshell,Medium, pointed ,gold,notRequired, YES ,JUNIOR,indoor,NA,playful,dry,Clumping,shelter,ARTHRITIS,3955,NA,14360,2609,-999,6414,NaN,483," 6,896",12179
,RAGDOLL,BROWN,Hairless,spotted,copper,up-To-Date,yes,kitten,both,FEATHER WAND,aggressive,missing,CLUMPING,SHELTER,NONE,18629,12758,3210,NA,127,"11,751",642,277,5018,£6913
2022-10-14,maine_coon,-999,medium,Tabby,ODD-EYED,up-to-date,YES,KITTEN,INDOOR, feather_wand ,AGGRESSIVE,missing,non-clumping, friend ,obesity,9718,missing,8109,13709,-999," 1,493",4059,16517,3011,NaN
28/12/2021,maine_coon,brown,-999,NaN,blue,unknown,yes,Senior,indoor,featherWand,Playful,dry,Recycled Paper,Online,arthritis,2237,3603,9950,13774,"13,437",17790,3981,12124,2580,620
22/11/2024,NaN,NA,missing,solid,missing,unknown,-999,,NA,Catnip Mouse,Lazy,dry,non-clumping, online ,dental,9464,£15941," 9,756",1141,"14,876",19539,1448,1262," 4,811",11302
26/04/2023,ragdoll,cream,Short,-999,BLUE,up-To-Date,no,SENIOR,outdoor,feather wand,Shy,Wet,clumping,stray,None,NA,NaN,4084,19586,2006,£13560,17791,NaN,,13482
18/10/2022,persian,missing,LONG,tabby,Green,-999,No,mature,Both,catnip_mouse,aggressive,mixed,Non-Clumping,Stray,NA,13962,"17,559",,"14,100",-999,"10,860",7304," 2,583",14009,"19,886"
2023-11-29,maineCoon,tortoiseshell,hairless,pointed,Gold,overdue,yes,Prime,BOTH,featherWand,Shy,mixed,recycled paper,stray,allergy,"11,424",NA," 6,010",NA,£19041,15747,NaN,£5510,13563,9205
2023-04-25,MAINE COON,white,long,Tabby, Blue ,unknown,no,senior,outdoor,string,shy,wet,silica,FRIEND,arthritis,14046,NA,"11,611",£18097,£17486,2118,£6316,"12,895",17140,    96
04/11/2021,Tabby,Tortoiseshell,MEDIUM,missing,Gold,overdue,no,PRIME,indoor,LASER POINTER,Shy,-999,Clumping,Friend,arthritis," 7,305",NA,"19,691",£12751,£5596,£10443,£4075,4332,14575,5979
06/11/2021,siamese,GREY,medium,bi-Colour,GREEN,overdue,NO,-999,indoor,featherWand,shy,wet,SILICA,SHELTER,NA,NaN,1973,12027,"13,491","11,078",7198,£7912,16699,5418,8392
14/02/2022,persian,cream,HAIRLESS,,COPPER,unknown,No,Junior,INDOOR,NaN,playful,NaN,recycled paper,breeder, arthritis ,NaN,17311,6274," 8,734",NA,15725,£16811,,8794,£4377
2022-11-28,SPHYNX,grey,Short,bi-colour,Green,up-to-date,yes,prime,outdoor,NaN,shy,WET,recycled paper,friend,none,£13105,521,NaN,"17,837",14146,16361," 1,567",£13680,missing,£7749
2024-12-30,britishShorthair,black,medium,spotted,missing,unknown,-999,mature,OUTDOOR,FEATHER WAND,shy,-999,non-clumping,friend,arthritis,6507,2894," 1,871",£9069," 4,368"," 2,970",5139,"10,793",£14029,7430
"Mar 01, 2023",sphynx,white,long,pointed,odd-eyed,Unknown, yes ,Prime, outdoor ,CATNIP MOUSE,aggressive,Mixed,silica,online,-999,£3673," 1,721",15186,NaN,7130,"10,605",1777,£18737,"18,303",3776
13/05/2021,BENGAL,calico, hairless ,pointed,gold,overdue,Yes,Mature,Indoor,laserPointer,playful,mixed,Silica,FRIEND,allergy,8647,18989,11832,8875,10734,£9661,14401,£4260,8434,NaN
"Aug 05, 2023",maine_coon,TORTOISESHELL,NA,-999,blue,Not Required, yes ,PRIME,outdoor,laser_pointer,Playful,Wet,Recycled Paper, breeder ,ALLERGY,-999,£11330,missing,9532,£17025,£1284,," 9,344",NaN,19745
2021-06-14,Persian, brown ,Medium,spotted,NA,unknown,Yes,missing, INDOOR ,ball, LAZY ,raw, clumping ,BREEDER,arthritis,17844,9914,missing,missing,"10,375",-999,£18095,-999,7476,£17321
2021-05-16,sphynx,grey,Short,POINTED,odd-eyed,NOT REQUIRED,yes,kitten,outdoor,string,aggressive,Wet,non-clumping,breeder,allergy,16868,NA,5984,6795,10210,11520,missing,15897,,17035
"Apr 17, 2022", Siamese ,tortoiseshell,NA,Spotted,COPPER,overdue,no,Junior,indoor,feather_wand,shy,-999,recycledPaper,shelter,Obesity,239,£14354,2491,-999,3574," 5,936",£12542,9239,6825,12673
14/01/2023, siamese ,cream,long,solid,GREEN,overdue,NaN,kitten, outdoor ,catnipMouse,playful, wet ,RECYCLED PAPER,STRAY,allergy," 2,779",3853,4984,16742,14147,-999,"10,342",2909," 9,615",1318
2021-06-29,Bengal,missing,MEDIUM,spotted,gold,,NO,GERIATRIC,OUTDOOR,missing,playful,wet,silica,stray,missing,17082,missing,"11,185",12869,£3550,11863,-999,4746,,312
2022-02-22,bengal,-999, Short ,spotted,green,Up-To-Date,No,Senior,indoor, string ,PLAYFUL,raw,Recycled Paper,missing,NONE,,14314,3667,"16,853"," 7,178",9414,19834,2072,6161,£6472
2024-06-16, bengal ,TORTOISESHELL,Long,tabby,gold,OVERDUE,,,indoor,Ball,lazy,NaN,Silica,STRAY,arthritis,NaN,19882,£1314,£11420," 1,798",2293,3526,11965,11639,10253
2023-01-25,missing,black,Hairless,tabby,COPPER,not_required,yes,senior, both ,LASER POINTER,playful,NaN,non-Clumping,ONLINE, dental ,NA,10138,10055,10206,8293,£12746,798,11360,2116," 4,790"
2021-08-16,maine_coon,tortoiseshell,medium,pointed,copper,not required,YES,JUNIOR,outdoor,string,FRIENDLY,dry,recycled_paper,,ARTHRITIS,,981,1995,missing,£6570,missing,1794,15781,"19,142","11,384"
2024-03-18,siamese,WHITE,Medium,POINTED,odd-eyed,OVERDUE, no ,KITTEN,-999,catnipMouse,lazy,dry,Silica,stray,none,NA,3284,-999,1271,8377,19431,NA,NaN,NA,13619
13/09/2024,PERSIAN,cream,medium, solid ,Gold,not_required,YES,senior, Both ,laser_pointer,Aggressive,dry,CLUMPING,Shelter,ALLERGY,11087,19943,8203,£5109,£11278,missing,569,12422,19511,NA
15/04/2023,BRITISH SHORTHAIR,brown,Hairless,solid,Odd-Eyed,up-to-date, No ,GERIATRIC,indoor,string,NaN,DRY,RECYCLED PAPER,online,arthritis," 8,587","18,513",£18807,18085,£10689,£1077,"15,285",,7963,4932
18/08/2023,bengal,Calico, long ,spotted,Odd-Eyed,missing,YES,senior,INDOOR,catnip_mouse,shy,mixed,RECYCLED PAPER,NaN,none,16086,missing,missing,£201,£16825,-999,"18,170",472,"14,236",7602
02/09/2021,NA,tortoiseshell,Medium,solid, blue ,Unknown,NO,junior,outdoor,string,lazy,DRY,clumping, shelter ,Arthritis,915,4863,7077,8967,£12917," 8,111",8967,£9413,£13716,13570
2022-12-16,maineCoon,black,short,bi-colour,Blue,notRequired,,,OUTDOOR,laser_pointer,playful, WET ,CLUMPING,stray,missing,3932,4934,12376,19492,"13,982",7325,17311,12297,16072,9299
missing,persian,Orange,hairless,tabby, GOLD ,up-To-Date,yes,mature,both, Catnip Mouse ,friendly,, Recycled Paper ,Online, none ,12594,4409,5210,NaN,8563," 3,282",632,missing,14051,£15397
2024-03-06,NaN,tortoiseshell,missing,bi-Colour,Blue,unknown,yes,junior,OUTDOOR,FEATHER WAND,lazy,NaN,NA,stray,Allergy,,15337,4509,17117,5796,£2110,16526,582,£14860,£10125
12/08/2024,BRITISH SHORTHAIR,ORANGE,MEDIUM,solid,blue,overdue,Yes,geriatric, both ,string, Aggressive ,raw,non-clumping,,ALLERGY,3636,15784,"10,836",£941,£4547,7574," 1,468"," 9,875",missing,18394
2022-01-29,bengal,Orange, HAIRLESS ,spotted,Gold,Overdue,no, Kitten ,Outdoor,string,Aggressive, Mixed ,recycled_paper,shelter,Obesity,13353,3606,13056,£9886,17398,3459,10639,"19,580",15527,4967
03/06/2022,bengal,brown,short,Tabby,Copper,OVERDUE,no,JUNIOR,indoor,catnipMouse,lazy,MIXED,NON-CLUMPING,online,none,missing,£12690,"16,131"," 9,231",£2816,17342,£15279,16962,£8929,£4992
"Oct 21, 2024",britishShorthair, WHITE ,medium,BI-COLOUR,-999,overdue,no,prime,both,ball,shy,dry,recycled paper,ONLINE,-999,1341,3896,£5683,£7369,missing,18336," 9,918",£17251,"13,203",8795
02/12/2023,bengal,NaN,MEDIUM,NaN,Gold,unknown,no,JUNIOR,both,laser_pointer,LAZY,Dry,clumping,stray,NaN,£1021,8543,missing,"19,472",£17579,2467,8695,6754,2023,18562
11/03/2024,,white,Short,solid,Blue,Not Required,NO,geriatric,both,laserPointer,lazy,raw,Recycled Paper,breeder,DENTAL,8063," 3,118",12779,£13814,7305," 5,500"," 5,879",18948,missing,6365
03/11/2024,sphynx, calico , hairless ,SOLID,gold,Up-To-Date,Yes,geriatric,,string,aggressive,Wet,non-clumping,online,dental,£7439,1091,2948,2848,19881,12809,4663,16037,11485,£3333
05/10/2021,siamese, Orange , long ,pointed,green,overdue,NaN,Kitten,INDOOR,Feather Wand,PLAYFUL,dry, non-clumping ,stray,NONE,8592," 3,105",5807,2251,NaN,4514,14004,9771,6600,3692
2023-02-17, Bengal ,cream,short,bi-Colour,gold,UP-TO-DATE,yes,mature,Outdoor,CATNIP MOUSE,lazy,Dry,clumping,stray,arthritis," 4,361",7229,13608,4614,10141,NaN,£3407,3079,missing,15079
2023-07-03,Tabby,tortoiseshell,short,Pointed,GOLD,overdue, No ,junior,INDOOR,Feather Wand, Playful ,dry,Non-Clumping,breeder,missing,12073,NA,15907,11800,    59,4588,13028,8759," 8,509",15279
2024-07-19,SIAMESE,brown,NaN,solid,gold, Up-To-Date ,yes,mature,BOTH,ball,Friendly,wet,non-clumping,friend,Arthritis,9461,10887,"10,871"," 2,739",604,-999,NA,1500,5257,missing
2022-03-09,SPHYNX,grey,NaN,SOLID,gold,Up-To-Date,no,KITTEN,outdoor,Laser Pointer,LAZY,RAW,Non-Clumping,shelter,dental,12831,16566,9069,4567,NA,15655,£9085,13279,141,5114
17/04/2021,Sphynx,orange,Hairless,pointed, copper ,missing,yes,Kitten,indoor,string,aggressive,dry,NA,STRAY,allergy,17825,NA,NA,15300,"12,870"," 9,541",10773,1158,7942,4253
18/08/2021,tabby,Orange,Short,spotted,COPPER,NOT REQUIRED,missing,JUNIOR,both,ball,Friendly,NA,clumping, shelter ,ALLERGY,1552,£6300,missing,18665,16432,11726,4898,13824,2711,1265
2024-04-09,British Shorthair,calico,medium, Spotted ,copper,OVERDUE,yes,geriatric,both,Laser Pointer,playful,raw,SILICA,online,Allergy,7854,7656,4252," 5,364",-999,4469," 9,549",6621,8166,4460
12/03/2022,maineCoon,calico,Medium,BI-COLOUR,green,NA,no,senior,NaN,String,playful,raw,NaN,stray,arthritis,9387,11333,NaN," 3,516",14709,-999,£4005,13005,5108,18894
2023-04-21,ragdoll,CREAM,Short,tabby,COPPER,UP-TO-DATE,NA,prime,Both, LASER POINTER ,friendly,dry,SILICA,breeder,obesity,14538,16902,15060,£3819,4972,1893,16331,"17,280",£16410,18495
,maineCoon,Cream, Hairless ,spotted,copper,Not Required,YES,geriatric,Indoor,string,playful,Dry,NON-CLUMPING,,obesity,5698,12989,14422,£18844,£1943,"15,146","10,874",17987,12373,3714
2023-12-17,BRITISH SHORTHAIR,BLACK,hairless,NaN,ODD-EYED,Up-To-Date,NO,geriatric,Both,ball,playful,NaN,RECYCLED PAPER,friend,Obesity,NaN,19462,4441,£16204,17108,6103,£6988,£10322,£11635,14284
2023-01-14,sphynx,NA,long,tabby,gold, not required , No ,kitten,Indoor,catnipMouse,AGGRESSIVE,NaN, clumping ,-999,arthritis,14678,£8671,5173,8498,missing,1487,£10609,17332,8398,-999
2021-04-26,SIAMESE,Cream,short,tabby,green,Overdue,yes,mature,INDOOR,ball,aggressive,NaN,silica,shelter,ALLERGY," 5,515",14889,-999,14823," 8,042",£9746,9873,16047,3299,15794
"Dec 10, 2024",persian, calico ,short,pointed,Copper,up-To-Date,NO,,OUTDOOR,ball,shy,Dry,-999,shelter,NA,766,£10080,"16,107",10041,19773," 9,704",NaN,17614,NaN,2986
01/01/2024,PERSIAN,-999,medium,solid,odd-Eyed,up-to-date,no,KITTEN,both,feather wand,lazy,Mixed,missing,NaN,obesity,"18,440",18805,4958,12399,3090,9323," 6,858",,9297,10443
-999,british_shorthair,ORANGE,Hairless,NaN,missing,Up-To-Date,no,mature,OUTDOOR,catnip_mouse,NaN,mixed, non-clumping ,friend,Obesity,NaN,16608,10613,£5592,8331,2051,NaN,NaN," 6,368",6389
19/05/2022,SPHYNX,orange,hairless,spotted,blue,NOT REQUIRED,YES,kitten,outdoor,ball,Friendly,mixed, recycled_paper ,Online,dental,18767,13551," 6,216","10,569",19578,£13734,£11700,£4605,£2673,9606
NA,tabby,cream,missing,NaN, gold ,Up-To-Date,NO,geriatric,indoor,catnip mouse,AGGRESSIVE,dry,clumping,Breeder,NaN,12672,£5905,£13624,13353,10352,12352,8527,NA,3423,"16,589"
,Siamese,black,medium, SOLID ,missing,Overdue,no,geriatric,INDOOR,Catnip Mouse,AGGRESSIVE,WET,,friend,obesity,4918,NA,16413,8873,2515,£14733,6367," 7,319",£4502,NaN
"Feb 18, 2023",maine coon,orange,medium,POINTED,gold,missing,No,Mature,OUTDOOR,Feather Wand, LAZY ,dry,Recycled Paper,NaN,None," 2,861",10275," 3,113",10025,10290,11962,6127,£1527,10137,£13452
2022-06-22, bengal ,orange,medium,SOLID,BLUE,overdue, NO ,Mature,both,featherWand,NaN, wet ,non-Clumping,breeder,arthritis,2768,-999,"14,969",missing,"10,123",16697,11264,8657,NA,NaN
2022-06-21,bengal,white,Hairless,Solid,copper,UNKNOWN,No,mature,indoor,laser pointer,,wet,CLUMPING,online,NONE,"12,025",NA,£1794,1013,4054,17413,£5585,"16,767",-999,"16,624"
26/11/2023,british shorthair,cream,short,TABBY,green,Unknown,no,kitten,outdoor,string,shy,mixed,non-clumping,ONLINE,none,£17867,-999,18972,17825,2817,£887,4907,£4527,6827,8862
NA,SIAMESE,brown,MEDIUM,BI-COLOUR,gold,notRequired,NO,missing,indoor, feather_wand ,Lazy,mixed,recycledPaper,friend,," 2,132",18919,NA,"19,152",12119,6136,9985,15730,NA,17176
17/01/2021,ragdoll,BLACK, short , solid ,blue,Overdue,no,SENIOR, INDOOR ,STRING,playful,WET,NA,online,arthritis,15141,4968,15939,NA,3613,4227,   478,17047,"17,638"," 6,449"
2021-06-10,Siamese,calico,long,NaN,copper,not required, yes ,prime,OUTDOOR,FEATHER WAND,missing,dry,NaN,FRIEND,,15652," 2,701",19630,13189,12150,19523,6174,16396,-999,£949
"Sep 01, 2024",missing,white,hairless, Pointed ,green,NOT REQUIRED,no,mature,both, catnipMouse ,playful,Wet,CLUMPING,Stray,None,NaN,18501,£19999,"10,893",£8283,679,18404,8061,1924,£4827
2023-09-07,sphynx,brown,hairless,Solid,copper, UP-TO-DATE ,no,prime,outdoor,string,Lazy,Wet,non-clumping,NaN,allergy,5737,NA,4213,£1200,"11,482",NaN,12688,£17278,13067,£16523
2021-01-01,siamese,grey,SHORT,solid,GREEN,notRequired,No,mature,Outdoor,laserPointer,aggressive,Dry, clumping ,STRAY,ALLERGY,12411,11485,missing,3453,missing," 5,372",9379,£7519,   475,NA
"Oct 30, 2021",SIAMESE,ORANGE,long,SOLID,,UP-TO-DATE,no,Junior,outdoor,missing, lazy ,raw,Recycled Paper,ONLINE,ARTHRITIS," 6,390",17323,£19119,14387,"13,154",NaN,£4272,12370,£13393,£5774
2023-10-22,persian,orange,hairless,POINTED,copper,Unknown,no,Kitten,indoor,String,friendly,dry,non-clumping,-999,Arthritis,"17,814",£5642,"17,854",£9561,£5555,£8301,7917,-999,NaN,9996
23/10/2021,tabby,orange,SHORT,bi-colour,gold,UNKNOWN,yes,kitten,outdoor,Ball,aggressive,dry,non-clumping,SHELTER,NA,£1843,13184,3321,    11,4025,1382,£773,15278,£2577,1754
2022-05-23,SPHYNX,ORANGE,medium,Bi-Colour,copper,overdue,no,prime,BOTH,string,friendly,wet,CLUMPING,stray,obesity,"15,396",180,15726,missing,missing,NaN,,NaN,6308,16015
2023-01-02,maineCoon,tortoiseshell,long,TABBY,missing,up-To-Date,Yes,mature,both,NA,playful,raw,non-clumping,BREEDER,missing,19372,3642," 1,762",NaN,9328,11217,5245,16054,17180,8187
28/11/2022,britishShorthair,Orange,long,SPOTTED,odd-Eyed,UNKNOWN,NA,Geriatric,Indoor,string,aggressive,mixed,non-clumping,NA,NONE,1908,12879,£1785,£19058,7674,8987," 2,634",2233,7173,£2016
23/03/2024,sphynx,ORANGE,NaN,solid,NaN,up-to-date, NO ,prime,NaN,Laser Pointer,NA,-999,non-clumping,stray,allergy,,5246,NaN,£12217,6638,7100,6217,13045,7457,19777
2022-05-22, british_shorthair ,calico,short,tabby,Blue,unknown, NO ,mature,missing, String ,shy,mixed,recycled paper,breeder,Arthritis,7201,3894,1730,15564,NA,£15860,11763,4383,18126,12951
09/08/2021,tabby,Tortoiseshell,Hairless,solid,odd-eyed,-999,NO,junior,indoor,Laser Pointer, Playful ,DRY,non-clumping, shelter ,dental,11110,3373,4505,"13,969",£16300," 1,394","15,749","18,541",£17732,NaN
"Aug 27, 2024",tabby,grey,long,SOLID,copper,not_required,yes,kitten,indoor,,shy,mixed,clumping,BREEDER,NaN,68,"11,081",5972,missing,missing,"19,012",12674,3235,-999,6398
,Ragdoll,Calico,NA, TABBY ,green,,no,kitten,both,feather wand,AGGRESSIVE,raw, non-Clumping ,friend,allergy,14429,2034,£15075,13470,7025,NaN,£12554,-999,11209,"10,550"
12/12/2021,Bengal,tortoiseshell,long,pointed, blue ,Up-To-Date,yes,senior,Indoor,LASER POINTER,shy,raw,Recycled Paper,shelter,allergy,"19,368",missing,-999,-999,2285,4363,"13,556",5686,£18402,2555
2024-07-20,sphynx,calico,NA, SOLID ,gold,unknown,NO,prime,missing,Catnip Mouse,PLAYFUL,Wet,RECYCLED PAPER,shelter,Arthritis,15752,15023,10645,8181,NA,15928,"19,826","14,594","12,493","12,608"
2022-06-28,SIAMESE,black,short,solid,COPPER,NaN,no,JUNIOR, INDOOR ,laser pointer, AGGRESSIVE ,raw,recycled paper,FRIEND,obesity,£5326,£8800,,-999,"10,633",£2096,,10558,18846,£18267
26/06/2023,sphynx,orange,HAIRLESS,BI-COLOUR,green,unknown,yes,geriatric, outdoor ,string,Aggressive,DRY,recycledPaper, STRAY ,allergy,195,NaN,648,"15,178",NA,-999,16930,£15503,2664," 3,612"
05/07/2024,siamese,missing,short,SPOTTED,copper,NA,-999,kitten,outdoor,BALL,PLAYFUL,WET,Silica,online,dental,18707,£16463,9017,5655,£629,17658,14683,5682,14076,NaN
NaN,bengal,missing,medium,solid,copper,UP-TO-DATE,NaN,SENIOR,both,ball,LAZY,mixed,Clumping,Breeder,None,6220,18738,"17,048",-999,17540,11001,4442,£9358,14884,938
-999,BENGAL,black,,Tabby,Copper,up-to-date,no,geriatric,both,CATNIP MOUSE,friendly,NA,SILICA, Online ,None,14203,£2846,8436,9050,3383,,16549,5360,13190,-999
2022-01-20,RAGDOLL,BROWN,long,pointed,BLUE,overdue,missing,junior,outdoor, catnip mouse ,aggressive,missing,RECYCLED PAPER,friend,-999,16930,7236,7125,NaN,7980,   682,missing,3090,18487,6795
13/06/2022,bengal,orange,hairless,spotted,blue,notRequired,no,prime, INDOOR ,string,lazy,raw,-999,friend,dental,2953,£13977,£13313,missing,10232,£7934,NA,4137,10187,18547
25/04/2024,Persian,grey,Long,solid, green ,up-to-date,No,SENIOR,outdoor,featherWand,friendly,dry,clumping,shelter,none,2701,8049,6402," 6,126",8793,14320,-999,4374,"12,311",12555
30/10/2024,ragdoll,cream,short,solid,copper, unknown ,, Prime ,indoor,ball,friendly,dry,NON-CLUMPING,Breeder,obesity,£2697,15444,5741,13104,,7435,17998," 3,777","10,372",10250
NA,sphynx,Grey, MEDIUM ,bi-colour,Blue,up-To-Date,yes,kitten,INDOOR,String, Aggressive ,mixed,SILICA,FRIEND,ALLERGY,,£17227,9324,£12041,9630,6655,13229,£14493,11321,£8153
"Mar 06, 2021",TABBY,black,long, tabby ,BLUE,UNKNOWN,YES,missing,outdoor,LASER POINTER,-999,missing,recycled_paper,NaN,obesity," 2,651",15071,8207,19196,6564,10947,£8916," 8,876",4313,£18784
18/12/2021,Siamese,brown,,pointed,gold,up-To-Date,No,mature,both,catnipMouse,aggressive,wet,recycled_paper,Breeder,ARTHRITIS,2857,£771,"13,448",16099,7279,13425,16219," 3,557",18773,10078
24/11/2023,siamese,White,hairless,SOLID,odd-eyed,overdue,NO,junior,indoor,feather_wand,NaN, Mixed , recycledPaper ,friend,none,"17,656",9034,,-999," 3,094",16535,16703,£18653,£17394,11873
2024-08-11,sphynx,grey, Long , pointed ,,,Yes,kitten,outdoor,STRING,shy,wet,CLUMPING,breeder,NA,NA,9726,16607,8901," 1,289","14,416",14919,10067,10909,9592
18/11/2021,tabby,BLACK,hairless,Tabby,odd-Eyed,up-to-date,no,geriatric,indoor, string ,,mixed,NA,shelter, arthritis ,"10,608",,£4547,6816,,£6659,10918," 4,405",13696,9266
05/09/2023,Maine Coon,white,SHORT,Bi-Colour,copper,Unknown,no, senior ,indoor,string,friendly,dry,clumping,breeder,allergy,£8548,19199,-999,," 5,177",843,16903,£16955,10511,2342
17/03/2024,ragdoll,orange,Hairless,BI-COLOUR,,Not Required,no,missing,OUTDOOR,,lazy,mixed,silica, BREEDER ,Dental,18400,NaN,4753,£18514,£6097,£8799,,8678,£13524,£9712
NA,Siamese,black,MEDIUM,Bi-Colour,gold,unknown,YES, kitten ,indoor,,Shy,Wet, silica ,stray,Allergy,17132,£16115,missing,13108," 6,694",18480,15443,-999,"19,238",-999
2021-03-22,missing,white,Short,Tabby,Blue,Unknown,No,senior,indoor,featherWand,friendly,mixed,,STRAY,Obesity,12580,missing,7431,missing,13003," 7,897",15405,£7913," 5,285",1166
09/09/2021,Persian,brown,,SPOTTED,odd-eyed,Overdue,yes,kitten,INDOOR,feather_wand,friendly,Dry,recycledPaper,online,Arthritis,£7546,13545,missing," 5,162",3650,1769,7406,4674,NaN,19584
31/10/2023,tabby,Black,long,Solid,green,NOT REQUIRED,YES,geriatric,indoor,ball,AGGRESSIVE,wet,Silica,stray,allergy,19071,£19660,£6113,"12,871",14622,11440,13167,3535,£13156,8493
05/06/2021,NA,CALICO,medium,Solid,copper,NOT REQUIRED,,geriatric,Both,string,friendly,mixed,recycledPaper,Breeder,obesity,£19368,£4210,2689,"17,861",3802,1024,10659,£5225,"11,516",£19462
-999,ragdoll,orange,hairless,BI-COLOUR,odd-Eyed,not_required,YES,missing,INDOOR,string,shy,wet,clumping,-999,none,£10847,," 3,393",9879,£17347,"18,475",-999,£979,16618,£16452
2021-08-18,sphynx,Orange,LONG,pointed,GREEN,overdue,NO,SENIOR,both,ball, Shy ,NaN,recycled paper,,NONE,NA,"18,444",8575,13161,10441,13023,£13718,£18918,11831,missing
2024-11-04,bengal,CREAM,Short,bi-colour,ODD-EYED,NOT REQUIRED,yes,junior,Outdoor,laser_pointer,NaN,dry, clumping ,NaN, obesity ,"12,324",£17338,11042,16237,14521,467,15735,£2074,5265,£13191
2022-03-02,, BLACK ,medium,pointed,blue,-999,no,kitten,outdoor,Laser Pointer,lazy,missing,SILICA,Stray,none,12761,8864,£19897,"17,844","19,287",,4665,235,16972,NA
"Dec 07, 2024",PERSIAN,,SHORT,Bi-Colour,blue,up-to-date,NO,PRIME,indoor,catnipMouse,lazy,mixed, Recycled Paper ,online,arthritis,£8899,14662,18251,missing,11059,£13141,"11,232",12367,4691,444
30/09/2023,-999,WHITE, Long ,tabby,Gold,Not Required,,Prime,indoor,feather_wand,playful,dry,missing,,NA,8008,12338,NA," 1,170",,1248,,£9350,missing,NaN
26/10/2024,SIAMESE,White,long,tabby, BLUE ,Overdue,no,Kitten,outdoor,Catnip Mouse,Lazy,raw,silica,missing, DENTAL ,6527,12553,9778," 8,070",-999,NaN,£11613,£2641,8812,£10529
2021-02-04,NaN,Grey,long,bi-colour,blue,UP-TO-DATE,no, kitten , indoor ,laser_pointer,shy,WET,non-clumping,shelter,obesity,9130," 7,484",15442,£15597,12022,2114,2493,19188,-999,£5414
"Jun 19, 2023",tabby,NA,Hairless,bi-colour,copper, Up-To-Date ,YES,kitten,,Laser Pointer,FRIENDLY,wet,recycledPaper,stray,Dental,12763,,4574,£14915,-999,£7651,£15030,5259,8665,£11203
